destination,passanger,weather,temperature,time,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,Y,Bar_ord,CoffeeHouse_ord,CarryAway_ord,RestaurantLessThan20_ord,Restaurant20To50_ord,age_ord,income_ord,education_ord,Cluster,PC1,PC2
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,0,0,0,0,0,1,3,2,1,7,2,4,1,-0.7300875916229432,0.937137798388597
Home,Alone,Rainy,55,6PM,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,1,1,0,0,0,1,3,2,1,7,2,4,1,-0.7300875916229432,0.937137798388597
Work,Alone,Sunny,30,7AM,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,1,0,1,0,0,1,3,2,1,7,2,4,1,-0.7300875916229432,0.937137798388597
Work,Alone,Rainy,55,7AM,1d,Female,50plus,Single,1,Bachelors degree,Legal,$25000 - $37499,never,less1,4~8,1~3,less1,1,1,0,0,0,1,3,2,1,7,2,4,1,-0.7300875916229432,0.937137798388597
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1,0,0,0,0,0,3,3,3,1,3,8,4,3,0.9715650682567119,1.2436491987917848
Home,Kid(s),Sunny,30,6PM,2h,Female,31,Married partner,1,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1,1,0,0,0,0,3,3,3,1,3,8,4,3,0.9715650682567119,1.2436491987917848
Home,Alone,Rainy,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1,1,1,0,0,0,3,3,3,1,3,8,4,3,0.9715650682567119,1.2436491987917848
Work,Alone,Sunny,30,7AM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1,1,0,1,1,0,3,3,3,1,3,8,4,3,0.9715650682567119,1.2436491987917848
Work,Alone,Rainy,55,7AM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$100000 or More,never,4~8,4~8,4~8,less1,1,1,0,0,0,3,3,3,1,3,8,4,3,0.9715650682567119,1.2436491987917848
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,0,0,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
Home,Kid(s),Sunny,30,6PM,2h,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
Home,Alone,Rainy,55,6PM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,1,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
Work,Alone,Sunny,30,7AM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,0,1,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
Work,Alone,Rainy,55,7AM,1d,Female,21,Married partner,1,Associates degree,Unemployed,$50000 - $62499,never,1~3,1~3,1~3,1~3,1,1,0,0,0,2,2,2,2,1,4,3,2,-0.11438324592627973,-0.2934581985648454
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never,0,0,0,0,2,3,1,0,0,1,2,2,2,-1.969607247742037,-1.6310069671345224
Home,Alone,Rainy,55,6PM,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never,1,1,0,1,2,3,1,0,0,1,2,2,2,-1.969607247742037,-1.6310069671345224
Work,Alone,Sunny,30,7AM,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never,1,0,1,1,2,3,1,0,0,1,2,2,2,-1.969607247742037,-1.6310069671345224
Work,Alone,Rainy,55,7AM,1d,Male,21,Single,1,Some college - no degree,Personal Care & Service,$25000 - $37499,1~3,4~8,less1,never,never,1,1,0,1,2,3,1,0,0,1,2,2,2,-1.969607247742037,-1.6310069671345224
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,0,0,0,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
No Urgent Place,Partner,Sunny,55,2PM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,0,0,0,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
Home,Alone,Rainy,55,6PM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,1,1,0,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
Home,Partner,Sunny,55,10PM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,1,1,0,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
Work,Alone,Sunny,30,7AM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,1,0,1,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
Work,Alone,Rainy,55,7AM,1d,Female,26,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$62500 - $74999,1~3,less1,1~3,4~8,1~3,1,1,0,0,2,1,2,3,2,2,5,5,3,0.997227007656248,0.9714874477116572
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,0,0,0,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
No Urgent Place,Partner,Sunny,55,2PM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,0,0,0,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
Home,Alone,Rainy,55,6PM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,1,1,0,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
Home,Partner,Sunny,55,10PM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,1,1,0,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
Work,Alone,Sunny,30,7AM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,1,0,1,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
Work,Alone,Rainy,55,7AM,1d,Female,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$37500 - $49999,less1,never,1~3,less1,never,1,1,0,0,1,0,2,1,0,2,3,4,2,-2.0945430111173957,0.07266408732427868
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,0,0,0,1,2,3,4,4,3,1,0,1,0,3.098940746270757,-2.7147480967174586
Home,Alone,Rainy,55,6PM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,1,1,0,1,2,3,4,4,3,1,0,1,0,3.098940746270757,-2.7147480967174586
Work,Alone,Sunny,30,7AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,1,0,1,1,2,3,4,4,3,1,0,1,0,3.098940746270757,-2.7147480967174586
Work,Alone,Rainy,55,7AM,1d,Female,21,Single,0,High School Graduate,Unemployed,Less than $12500,1~3,4~8,gt8,gt8,4~8,1,1,0,1,2,3,4,4,3,1,0,1,0,3.098940746270757,-2.7147480967174586
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,0,0,0,0,0,4,3,3,1,4,2,2,0,0.7677278742216621,-0.9621078182822987
Home,Kid(s),Sunny,30,6PM,2h,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,1,0,0,0,0,4,3,3,1,4,2,2,0,0.7677278742216621,-0.9621078182822987
Home,Alone,Rainy,55,6PM,1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,1,1,0,0,0,4,3,3,1,4,2,2,0,0.7677278742216621,-0.9621078182822987
Work,Alone,Sunny,30,7AM,1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,1,0,1,0,0,4,3,3,1,4,2,2,0,0.7677278742216621,-0.9621078182822987
Work,Alone,Rainy,55,7AM,1d,Female,36,Divorced,1,Some college - no degree,Office & Administrative Support,$25000 - $37499,never,gt8,4~8,4~8,less1,1,1,0,0,0,4,3,3,1,4,2,2,0,0.7677278742216621,-0.9621078182822987
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,1~3,less1,1~3,1~3,less1,0,0,0,0,2,1,2,2,1,3,2,5,2,-0.3200565035205345,0.4103151130601419
Home,Alone,Rainy,55,6PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,1~3,less1,1~3,1~3,less1,1,1,0,1,2,1,2,2,1,3,2,5,2,-0.3200565035205345,0.4103151130601419
Work,Alone,Sunny,30,7AM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,1~3,less1,1~3,1~3,less1,1,0,1,0,2,1,2,2,1,3,2,5,2,-0.3200565035205345,0.4103151130601419
Work,Alone,Rainy,55,7AM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Student,$25000 - $37499,1~3,less1,1~3,1~3,less1,1,1,0,1,2,1,2,2,1,3,2,5,2,-0.3200565035205345,0.4103151130601419
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,1~3,1~3,1~3,less1,less1,0,0,0,0,2,2,2,1,1,0,0,2,2,-0.832866550450658,-2.2711555494041056
Home,Alone,Rainy,55,6PM,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,1~3,1~3,1~3,less1,less1,1,1,0,0,2,2,2,1,1,0,0,2,2,-0.832866550450658,-2.2711555494041056
Work,Alone,Sunny,30,7AM,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,1~3,1~3,1~3,less1,less1,1,0,1,0,2,2,2,1,1,0,0,2,2,-0.832866550450658,-2.2711555494041056
Work,Alone,Rainy,55,7AM,1d,Male,below21,Single,0,Some college - no degree,Student,Less than $12500,1~3,1~3,1~3,less1,less1,1,1,0,0,2,2,2,1,1,0,0,2,2,-0.832866550450658,-2.2711555494041056
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3,0,0,0,0,0,3,2,3,2,7,7,4,3,0.8940460638113445,2.136275770486892
Home,Kid(s),Sunny,30,6PM,2h,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3,1,0,0,0,0,3,2,3,2,7,7,4,3,0.8940460638113445,2.136275770486892
Home,Alone,Rainy,55,6PM,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3,1,1,0,0,0,3,2,3,2,7,7,4,3,0.8940460638113445,2.136275770486892
Work,Alone,Sunny,30,7AM,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3,1,0,1,0,0,3,2,3,2,7,7,4,3,0.8940460638113445,2.136275770486892
Work,Alone,Rainy,55,7AM,1d,Female,50plus,Married partner,1,Bachelors degree,Unemployed,$87500 - $99999,never,4~8,1~3,4~8,1~3,1,1,0,0,0,3,2,3,2,7,7,4,3,0.8940460638113445,2.136275770486892
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,50plus,Married partner,1,High School Graduate,Retired,$75000 - $87499,never,never,4~8,less1,1~3,0,0,0,0,0,0,3,1,2,7,6,1,1,-1.088290973993505,0.5747722142329679
Home,Alone,Rainy,55,6PM,1d,Female,50plus,Married partner,1,High School Graduate,Retired,$75000 - $87499,never,never,4~8,less1,1~3,1,1,0,0,0,0,3,1,2,7,6,1,1,-1.088290973993505,0.5747722142329679
Work,Alone,Sunny,30,7AM,1d,Female,50plus,Married partner,1,High School Graduate,Retired,$75000 - $87499,never,never,4~8,less1,1~3,1,0,1,0,0,0,3,1,2,7,6,1,1,-1.088290973993505,0.5747722142329679
Work,Alone,Rainy,55,7AM,1d,Female,50plus,Married partner,1,High School Graduate,Retired,$75000 - $87499,never,never,4~8,less1,1~3,1,1,0,0,0,0,3,1,2,7,6,1,1,-1.088290973993505,0.5747722142329679
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,4~8,1~3,1~3,4~8,4~8,0,0,0,1,3,2,2,3,3,2,1,0,0,1.590183787280194,-2.487241845398667
Home,Alone,Rainy,55,6PM,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,4~8,1~3,1~3,4~8,4~8,1,1,0,1,3,2,2,3,3,2,1,0,0,1.590183787280194,-2.487241845398667
Work,Alone,Sunny,30,7AM,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,4~8,1~3,1~3,4~8,4~8,1,0,1,1,3,2,2,3,3,2,1,0,0,1.590183787280194,-2.487241845398667
Work,Alone,Rainy,55,7AM,1d,Male,26,Single,1,Some High School,Installation Maintenance & Repair,$12500 - $24999,4~8,1~3,1~3,4~8,4~8,1,1,0,0,3,2,2,3,3,2,1,0,0,1.590183787280194,-2.487241845398667
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,0,0,0,0,1,3,3,4,2,3,3,4,0,2.1252978751730747,0.06184988049857307
Home,Kid(s),Sunny,30,6PM,2h,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,1,0,0,1,1,3,3,4,2,3,3,4,0,2.1252978751730747,0.06184988049857307
Home,Alone,Rainy,55,6PM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,1,1,0,0,1,3,3,4,2,3,3,4,0,2.1252978751730747,0.06184988049857307
Work,Alone,Sunny,30,7AM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,1,0,1,0,1,3,3,4,2,3,3,4,0,2.1252978751730747,0.06184988049857307
Work,Alone,Rainy,55,7AM,1d,Female,31,Married partner,1,Bachelors degree,Unemployed,$37500 - $49999,less1,4~8,4~8,gt8,1~3,1,1,0,0,1,3,3,4,2,3,3,4,0,2.1252978751730747,0.06184988049857307
Home,Kid(s),Sunny,30,6PM,2h,Female,26,Married partner,1,Bachelors degree,Arts Design Entertainment Sports & Media,$50000 - $62499,never,never,less1,less1,less1,1,0,0,0,0,0,1,1,1,2,4,4,2,-2.2906898553472,0.6613198867172124
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,less1,less1,4~8,gt8,gt8,0,0,0,0,1,1,3,4,4,3,1,2,0,2.2632534393859416,-1.0043558840173057
Home,Alone,Rainy,55,6PM,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,less1,less1,4~8,gt8,gt8,1,1,0,0,1,1,3,4,4,3,1,2,0,2.2632534393859416,-1.0043558840173057
Work,Alone,Sunny,30,7AM,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,less1,less1,4~8,gt8,gt8,1,0,1,0,1,1,3,4,4,3,1,2,0,2.2632534393859416,-1.0043558840173057
Work,Alone,Rainy,55,7AM,1d,Female,31,Divorced,1,Some college - no degree,Food Preparation & Serving Related,$12500 - $24999,less1,less1,4~8,gt8,gt8,1,1,0,0,1,1,3,4,4,3,1,2,0,2.2632534393859416,-1.0043558840173057
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,21,Single,0,Bachelors degree,Protective Service,$25000 - $37499,never,never,gt8,less1,less1,0,0,0,0,0,0,4,1,1,1,2,4,2,-1.03304832040547,-0.4804847892639372
Home,Alone,Rainy,55,6PM,1d,Male,21,Single,0,Bachelors degree,Protective Service,$25000 - $37499,never,never,gt8,less1,less1,1,1,0,0,0,0,4,1,1,1,2,4,2,-1.03304832040547,-0.4804847892639372
Work,Alone,Sunny,30,7AM,1d,Male,21,Single,0,Bachelors degree,Protective Service,$25000 - $37499,never,never,gt8,less1,less1,1,0,1,0,0,0,4,1,1,1,2,4,2,-1.03304832040547,-0.4804847892639372
Work,Alone,Rainy,55,7AM,1d,Male,21,Single,0,Bachelors degree,Protective Service,$25000 - $37499,never,never,gt8,less1,less1,1,1,0,0,0,0,4,1,1,1,2,4,2,-1.03304832040547,-0.4804847892639372
No Urgent Place,Alone,Snowy,30,2PM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,0,0,0,0,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
No Urgent Place,Partner,Sunny,55,2PM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,0,0,0,1,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
Home,Alone,Rainy,55,6PM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,1,1,0,0,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
Home,Partner,Sunny,55,10PM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,1,1,0,0,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
Work,Alone,Sunny,30,7AM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,1,0,1,0,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
Work,Alone,Rainy,55,7AM,1d,Male,21,Unmarried partner,0,Some college - no degree,Student,Less than $12500,less1,1~3,4~8,4~8,1~3,1,1,0,0,1,2,3,3,2,1,0,2,0,0.9387740523799262,-1.9508158277340566
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,0,0,0,0,0,0,2,1,0,2,2,2,2,-2.646166928371339,-0.9795133169687179
Home,Kid(s),Sunny,30,6PM,2h,Female,26,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,1,0,0,0,0,0,2,1,0,2,2,2,2,-2.646166928371339,-0.9795133169687179
Home,Alone,Rainy,55,6PM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,1,1,0,0,0,0,2,1,0,2,2,2,2,-2.646166928371339,-0.9795133169687179
Work,Alone,Sunny,30,7AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,1,0,1,0,0,0,2,1,0,2,2,2,2,-2.646166928371339,-0.9795133169687179
Work,Alone,Rainy,55,7AM,1d,Female,26,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,never,1~3,less1,never,1,1,0,0,0,0,2,1,0,2,2,2,2,-2.646166928371339,-0.9795133169687179
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,less1,less1,1~3,1~3,less1,0,0,0,0,1,1,2,2,1,5,6,4,3,-0.5484322299444666,1.429275519728279
Home,Kid(s),Sunny,30,6PM,2h,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,less1,less1,1~3,1~3,less1,1,0,0,1,1,1,2,2,1,5,6,4,3,-0.5484322299444666,1.429275519728279
Home,Alone,Rainy,55,6PM,1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,less1,less1,1~3,1~3,less1,1,1,0,1,1,1,2,2,1,5,6,4,3,-0.5484322299444666,1.429275519728279
Work,Alone,Sunny,30,7AM,1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,less1,less1,1~3,1~3,less1,1,0,1,0,1,1,2,2,1,5,6,4,3,-0.5484322299444666,1.429275519728279
Work,Alone,Rainy,55,7AM,1d,Female,41,Single,1,Bachelors degree,Healthcare Support,$75000 - $87499,less1,less1,1~3,1~3,less1,1,1,0,1,1,1,2,2,1,5,6,4,3,-0.5484322299444666,1.429275519728279
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never,0,0,0,0,0,1,2,2,0,1,2,2,2,-1.7126489651885746,-1.2798956755425603
Home,Alone,Rainy,55,6PM,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never,1,1,0,0,0,1,2,2,0,1,2,2,2,-1.7126489651885746,-1.2798956755425603
Work,Alone,Sunny,30,7AM,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never,1,0,1,0,0,1,2,2,0,1,2,2,2,-1.7126489651885746,-1.2798956755425603
Work,Alone,Rainy,55,7AM,1d,Female,21,Married partner,1,Some college - no degree,Unemployed,$25000 - $37499,never,less1,1~3,1~3,never,1,1,0,0,0,1,2,2,0,1,2,2,2,-1.7126489651885746,-1.2798956755425603
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Food Preparation & Serving Related,$100000 or More,less1,gt8,4~8,4~8,4~8,0,0,0,0,1,4,3,3,3,5,8,5,0,2.7398844038346217,2.0869598952672024
Work,Alone,Rainy,55,7AM,1d,Female,41,Married partner,1,Graduate degree (Masters or Doctorate),Food Preparation & Serving Related,$100000 or More,less1,gt8,4~8,4~8,4~8,1,1,0,0,1,4,3,3,3,5,8,5,0,2.7398844038346217,2.0869598952672024
No Urgent Place,Alone,Snowy,30,2PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,0,0,0,0,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
No Urgent Place,Partner,Sunny,55,2PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,0,0,0,0,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
Home,Alone,Rainy,55,6PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,1,0,1,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
Home,Partner,Sunny,55,10PM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,1,0,1,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
Work,Alone,Sunny,30,7AM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,0,1,0,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
Work,Alone,Rainy,55,7AM,1d,Female,31,Unmarried partner,0,Graduate degree (Masters or Doctorate),Computer & Mathematical,$50000 - $62499,less1,1~3,less1,1~3,less1,1,1,0,0,1,2,1,2,1,3,4,5,3,-0.6604240898499422,1.0549469499211808
No Urgent Place,Friend(s),Sunny,80,10PM,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,3,2,1,2,-0.9718531120227123,-1.334030338035577
No Urgent Place,Friend(s),Sunny,55,10PM,2h,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,3,2,1,2,-0.9718531120227123,-1.334030338035577
No Urgent Place,Alone,Rainy,55,10AM,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,less1,1,0,0,1,0,2,2,2,1,3,2,1,2,-0.9718531120227123,-1.334030338035577
Work,Alone,Snowy,30,7AM,1d,Female,31,Single,0,High School Graduate,Healthcare Support,$25000 - $37499,never,1~3,1~3,1~3,less1,1,1,0,0,0,2,2,2,1,3,2,1,2,-0.9718531120227123,-1.334030338035577
No Urgent Place,Friend(s),Sunny,80,10PM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,gt8,4~8,4~8,4~8,4~8,1,0,0,0,4,3,3,3,3,3,6,5,0,3.3636143417420903,0.8854760810923455
No Urgent Place,Friend(s),Sunny,55,10PM,2h,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,gt8,4~8,4~8,4~8,4~8,1,0,0,0,4,3,3,3,3,3,6,5,0,3.3636143417420903,0.8854760810923455
No Urgent Place,Alone,Rainy,55,10AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,gt8,4~8,4~8,4~8,4~8,1,0,0,0,4,3,3,3,3,3,6,5,0,3.3636143417420903,0.8854760810923455
Work,Alone,Snowy,30,7AM,1d,Female,31,Single,0,Graduate degree (Masters or Doctorate),Legal,$75000 - $87499,gt8,4~8,4~8,4~8,4~8,1,1,0,0,4,3,3,3,3,3,6,5,0,3.3636143417420903,0.8854760810923455
No Urgent Place,Partner,Rainy,55,6PM,2h,Female,26,Married partner,0,Graduate degree (Masters or Doctorate),Student,$87500 - $99999,never,4~8,less1,4~8,less1,1,0,0,0,0,3,1,3,1,2,7,5,3,0.11150068195963359,1.5741716073274727
No Urgent Place,Friend(s),Sunny,80,10PM,1d,Male,21,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,1~3,gt8,4~8,1~3,less1,1,0,0,1,2,4,3,2,1,1,3,2,0,1.011130080221358,-1.6882118264205648
No Urgent Place,Friend(s),Sunny,55,10PM,2h,Male,21,Single,0,Some college - no degree,Sales & Related,$37500 - $49999,1~3,gt8,4~8,1~3,less1,1,0,0,1,2,4,3,2,1,1,3,2,0,1.011130080221358,-1.6882118264205648
